Name,Location,Visitors in 2022,Population,Type,Collection size,Established
Louvre,Paris,7726321,11020000,Art ,615797,1793
Vatican Museums,Vatican City,5080866,825,Art ,70000,1506
Natural History Museum,London,4654608,10979000,Natural,,1881
British Museum,London,4097253,10979000,,8000000,1753
National Museum of Natural History,Washington,3900000,5379184,Natural,146000000,1910
Tate Modern,London,3883160,10979000,,,2000
National Museum of Korea,Seoul,3411381,21794000,Art,310000,1909
Guangdong Museum,Guangzhou,3359700,20902000,,,1959
Mevlana Museum,Konya,3352505,2232374,Mosque,,
Musée d'Orsay,Paris,3270182,11020000,Art,,1986
National Gallery of Art,Washington,3256433,5379184,,75000,1937
Metropolitan Museum of Art,New York City,3208832,18713220,,20000000,1870
Centre Pompidou,Paris,3009570,11020000,Cultural,,
State Hermitage Museum,Saint Petersburg,2812913,5351935,,3000000,1764
National Gallery,London,2727119,10979000,Art ,,1824
State Russian Museum,Saint Petersburg,2651688,5351935,Art,,1895
National Museum of Marine Science and Technology,Keelung,2582444,370155,,,2014
Prado Museum,Madrid,2456724,3266126,Art,,1819
Victoria and Albert Museum,London,2370261,10979000,Art ,2278183,1852
Somerset House,London,2356580,10979000,,,
London Science Museum,London,2334930,10979000,,,
Chinese Aviation Museum,Beijing,2300000,19433000,Aviation ,,1989
National Museum of Natural Science,Taichung,2299808,2803894,,,1986
Galleria degli Uffizi,Florence,2222692,382258,Art ,,1581
Museum of Modern Art,New York City,2190440,18713220,Art ,,1929
M+,Hong Kong,2034331,7347000,Art ,6421,2021
Opium War Museum [zh],Dongguan,2025800,7981000,,,
Cité des Sciences et de l'Industrie,Paris,1992823,11020000,Science ,,1986
National Museum of Scotland,Edinburgh,1973751,488050,,,
State Tretyakov Gallery,Moscow,1910000,17125000,Art ,,1856
National Taiwan Science Education Center,Taipei,1878504,2684567,Science,,1956
National Science and Technology Museum,Kaohsiung,1875372,2773533,Science ,,1997
National Museum of Modern and Contemporary Art,Seoul,1806641,21794000,,,1969
Smithsonian Museum of American History,Washington,1800000,5379184,History ,,1964
Rijksmuseum,Amsterdam,1766084,1031000,,1000000,1798
National Museum of China,Beijing,1630911,19433000,History ,1300000,2003
Royal Museums Greenwich,London,1628580,10979000,,,
Nanjing Museum,Nanjing,1610000,7496000,History,400000,1933
Zhejiang Museum of Natural History,Hangzhou,1581263,6446000,,,2005
National Gallery of Victoria,Melbourne,1580303,5078193,Art ,,1861
Jianchuan Museum Cluster,Chengdu,1538143,11309000,,,
Tokyo Metropolitan Art Museum,Tokyo,1509970,37977000,Art ,49,1926
Changzhou Museum,Changzhou,1508229,4592431,,,1958
Humboldt Forum,Berlin,1500000,3644826,Art ,,2020
National Museum of Anthropology,Mexico City,1494587,20996000,Archaeology ,600000,1964
National Museum of History,Mexico City,1486379,20996000,History ,,
National Air and Space Museum[b],Washington,1486000,5379184,Aviation ,,1946
Kaohsiung Museum of Fine Arts,Kaohsiung,1461406,2773533,Art ,,1994
Acropolis Museum,Athens,1451727,664046,Archaeological ,4250,2009
China Science and Technology Museum,Beijing,1431189,19433000,,,1988
Galleria dell'Accademia,Florence,1428369,382258,Art ,,1784
Suzhou Museum,Suzhou,1417412,5690000,,,
Chengdu Museum,Chengdu,1404735,11309000,City ,200000,1984
Shanghai Science and Technology Museum,Shanghai,1403179,22120000,,,2001
"The National Art Center, Tokyo",Tokyo,1400096,37977000,,,
Louis Vuitton Foundation,Paris,1398525,11020000,,,2014
Tokyo National Museum,Tokyo,1372132,37977000,Art ,110000,1872
"National Museum, Krakow",Krakow,1365425,766739,National ,,1879
Centro Cultural Banco do Brasil,São Paulo,1364208,22046000,,,1989
Van Gogh Museum,Amsterdam,1364023,1031000,National ,,1973
Kunsthistorisches Museum,Vienna,1345617,1840573,Art ,,1871
Tianjin Natural History Museum,Tianjin,1320752,10800000,Natural,,1914
Palacio de Cristal del Retiro,Madrid,1318823,3266126,Conservatory,,
Guggenheim Museum Bilbao,Bilbao,1289147,346843,Art ,,1997
Scottish National Gallery,Edinburgh,1277230,488050,,,1859
National Gallery Singapore,Singapore,1262189,5745000,Art ,9000,2015
Museo Reina Sofía,Madrid,1253183,3266126,,,1992
Museum of European and Mediterranean Civilisations,Marseille,1251030,870018,National,,2013
